SPY,"S&P 500 SPDR",332.37,-1.82,-0.54%,2626033,57.3%,42.7%,1.3411355345318,09/29/20
QQQ,"Nasdaq QQQ Invesco ETF",275.95,-1.25,-0.45%,640053,56.2%,43.8%,1.2837829158638,09/29/20
SLV,"Silver Trust Ishares",22.5,0.48,+2.18%,429509,18.1%,81.9%,0.22150080768093,09/29/20
TLT,"20+ Year Treas Bond Ishares ETF",164.84,0.19,+0.12%,315213,89.8%,10.2%,8.8230857926392,09/29/20
GLD,"Gold SPDR",178.19,1.49,+0.84%,288133,18.9%,81.1%,0.2326229059361,09/29/20
IWM,"Russell 2000 Ishares ETF",149.34,-0.68,-0.45%,284997,57.2%,42.8%,1.339051073923,09/29/20
VXX,"Ipath.B S&P 500 VIX Short-Term Futures ETN",24.94,-0.42,-1.66%,275077,58.3%,41.7%,1.397143404908,09/29/20
UVXY,"Ultra VIX Short-Term Fut Proshares",20.03,-0.62,-3.00%,145494,40.9%,59.1%,0.69084696913351,09/29/20
HYG,"High Yield Corp Bond Ishares Iboxx $ ETF",83.56,0.07,+0.08%,113355,59.1%,40.9%,1.4477434679335,09/29/20
EEM,"Emerging Markets Ishares MSCI ETF",43.39,-0.03,-0.07%,107709,56.2%,43.8%,1.2805208553885,09/29/20
EWZ,"Brazil Ishares MSCI ETF",27.17,-0.29,-1.06%,100406,51.7%,48.3%,1.069288157949,09/29/20
XLF,"S&P 500 Financials Sector SPDR",23.75,-0.3,-1.25%,92806,45.0%,55.0%,0.81780075997963,09/29/20
GDX,"Gold Miners Vaneck ETF",39.37,0.5,+1.29%,92430,50.7%,49.3%,1.0272404263719,09/29/20
EFA,"EAFE Ishares MSCI ETF",63.96,-0.07,-0.11%,75550,83.1%,16.9%,4.9148203241212,09/29/20
XLE,"S&P 500 Energy Sector SPDR",30.04,-0.85,-2.75%,66115,38.1%,61.9%,0.61634558967338,09/29/20
DIA,"Dow Industrials SPDR",274.42,-1.48,-0.54%,61643,37.9%,62.1%,0.61120259285397,09/29/20
UNG,"US Natural Gas Fund",11.29,-1.19,-9.54%,47202,46.4%,53.6%,0.86576544527452,09/29/20
SQQQ,"Ultrapro Short QQQ Proshares",24.37,0.31,+1.29%,46623,13.3%,86.7%,0.15286466704582,09/29/20
USO,"US Oil Fund",27.7,-0.99,-3.45%,46364,74.5%,25.5%,2.918194878729,09/29/20
TQQQ,"Ultrapro QQQ Proshares",128.36,-1.36,-1.05%,36559,44.5%,55.5%,0.80146841430965,09/29/20
XOP,"S&P Oil & Gas Expl & Prod SPDR",42.45,-1.31,-2.99%,34750,51.7%,48.3%,1.0701775288931,09/29/20
FXI,"China Large-Cap Ishares ETF",41.17,-0.16,-0.39%,32155,55.2%,44.8%,1.2331411903604,09/29/20
XLI,"S&P 500 Industrial Sector SPDR",77.18,-0.69,-0.89%,30515,51.4%,48.6%,1.0591807814292,09/29/20
LQD,"Invst Grade Corp Bond Ishares Iboxx $ ETF",134.73,-0.17,-0.13%,29374,49.5%,50.5%,0.98191754942312,09/29/20
XIU.TO,"Ishares S&P TSX 60 Index ETF",24.55,-0.07,-0.28%,29319,99.7%,0.3%,339.91860465116,"16:02 ET"
UUP,"DB US Dollar Index Bullish Fund Invesco",25.35,-0.12,-0.47%,27113,35.3%,64.7%,0.54657463921054,09/29/20
EMB,"USD Emrg Mkts Bond Ishares JPM ETF",110.35,-0.25,-0.23%,23300,10.9%,89.1%,0.1223506743738,09/29/20
KRE,"S&P Regional Banking ETF SPDR",35.29,-0.49,-1.37%,20912,14.3%,85.7%,0.1672899804633,09/29/20
TNA,"Smallcap Bull 3X Direxion",30.3,-0.45,-1.46%,20719,60.4%,39.6%,1.5279404587604,09/29/20
GDXJ,"Junior Gold Miners ETF Vaneck",56.11,0.85,+1.54%,18042,18.0%,82.0%,0.21946603582291,09/29/20
XLU,"S&P 500 Utilities Sector SPDR",58.85,-0.02,-0.03%,17520,30.8%,69.2%,0.44423378122166,09/29/20
XLV,"S&P 500 Healthcare Sector SPDR",103.82,-0.13,-0.13%,16490,70.4%,29.6%,2.3756397134084,09/29/20
